,ROI,SystemTime,Timestamp,Pos,Left,Right
360,1,63722466964687,1380777,"(-0.3, 1.3, 10.0)",1,1
361,1,63722466964709,1380794,"(-0.3, 1.2, 10.0)",1,1
362,1,63722466964732,1380819,"(-0.2, 1.2, 10.0)",1,1
363,1,63722466964753,1380836,"(-0.2, 1.2, 10.0)",1,1
364,1,63722466964775,1380861,"(-0.2, 1.2, 10.0)",1,1
365,1,63722466964798,1380886,"(-0.2, 1.2, 10.0)",1,1
366,1,63722466964841,1380927,"(-0.2, 1.2, 10.0)",1,1
367,1,63722466964862,1380952,"(-0.2, 1.2, 10.0)",1,1
368,1,63722466964883,1380969,"(-0.2, 1.2, 10.0)",1,1
369,1,63722466964901,1380986,"(-0.2, 1.2, 10.0)",1,1
370,1,63722466964923,1381011,"(-0.2, 1.2, 10.0)",1,1
371,1,63722466964940,1381027,"(-0.2, 1.2, 10.0)",1,1
372,1,63722466964959,1381044,"(-0.2, 1.2, 10.0)",1,1
373,1,63722466964975,1381061,"(-0.2, 1.2, 10.0)",1,1
374,1,63722466964998,1381086,"(-0.2, 1.2, 10.0)",1,1
375,1,63722466965020,1381111,"(-0.2, 1.2, 10.0)",1,1
376,1,63722466965047,1381136,"(-0.2, 1.2, 10.0)",1,1
377,1,63722466965065,1381152,"(-0.2, 1.2, 10.0)",1,1
378,1,63722466965088,1381177,"(-0.2, 1.2, 10.0)",1,1
379,1,63722466965109,1381194,"(-0.2, 1.2, 10.0)",1,1
